香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
风流[風流]	feng1liu2	adjective 1 refined and tasteful 唐诗如贵介公子, 举止风流。(谢榛《四溟诗话》) Tángshī rú guìjiè gōngzǐ, jǔzhǐ fēngliú. Tang poetry is like a noble prince whose behaviour is refined and tasteful. 2 unrestrained in spirit and behaviour 吾爱孟夫子, 风流天下闻。(李白《赠孟浩然》) Wú'ài mèng fūzǐ, fēngliú tiānxià wén. I love the Master, Meng Haoran, | A free spirit known the whole world through. 3 romantic; amorous; licentious 风流才子 fēngliúcáizǐ gallant young scholar 风流寡妇 fēngliú guǎfu merry widow 风流年少 fēngliú niánshào romantic young man
丢丑[丟醜]	diu1//chou3	verb lose face; disgraced; embarrassed 简直是丢丑！ Jiǎnzhí shì diūchǒu! It’s really a disgrace! or What a disgrace!
奔丧[奔喪]	ben1//sang1	verb hasten home for the funeral of a parent or grandparent
缫丝机[繅絲機]	sao1si1ji1	reeling machine; filature
狗日[狗日]	gou3ri4	1 lit. fucked or spawned by a dog 2 contemptible 3 lousy, fucking
泼妇[潑婦]	po1fu4	noun shrew; vixen; virago 泼妇骂街 pōfùmàjiē shout abuse like a shrill housewife
鲢鱼[鰱魚]	lian2yu2	silver carp
卧推[臥推]	wo4tui1	bench press
台端[台端]	tai2duan1	noun dated courteous you [in business letters]
拖把[拖把]	tuo1ba3	noun mop
铁匠[鐵匠]	tie3jiang5	noun blacksmith; ironsmith
弹弓[彈弓]	dan4gong1	noun catapult; slingshot
藤榻[藤榻]	teng2 ta4	rattan (or cane) couch
扎猛子[扎猛子]	zha1//meng3zi5	verb dialect swim with the head submerged; dive
倒插门[倒插門]	dao4cha1men2	verb colloquial (of a man) marry into the wife's family 倒插门女婿 dàochā mén nǚxu a live-in son-in-law
混沌[混沌]	hun4dun4	noun Chaos (according to folklore, the primeval state of the universe) 混沌初开 hùndùnchūkāi when earth was first separated from heaven  adjective ignorant; simple-minded; muddle-headed 头脑混沌 tóunǎo hùndùn be muddle-headed; stupid
话梅[話梅]	hua4mei2	noun preserved plum
金瓜[金瓜]	jin1gua1	noun 1 a kind of pumpkin 2 a kind of weapon in ancient times
桥堍[橋堍]	qiao2tu4	either end of a bridge
膀胱[膀胱]	pang2guang1	noun (urinary) bladder (胱胱 guāng)
暨[暨]	ji4	literary verb reach 暨今 jìjīn up till now  conjunction and 科技史暨古文献研究所 kējì shǐ jì gǔ wénxiàn yánjiūsuǒ Institute for History of Science and Technology and Ancient Texts
鲔鱼[鮪魚]	wei3yu2	tuna
芭乐[芭樂]	ba1le4	guava (loanword from Taiwanese)
气垫[氣墊]	qi4dian4	noun 1 air cushion 2 high-pressure jetting from underneath a hovercraft
老字号[老字號]	lao3zi4hao5	noun old name in business—long-standing firm (or shop); old and famous enterprise (or shop)
壁虎[壁虎]	bi4hu3	noun zoology gecko; house lizard
借壳[借殼]	jie4//ke2	verb finance borrow (or acquire) a shell 该公司被一家银行借了壳。 Gāi gōngsī bèi yījiā yínháng jiè le ké. The company was acquired as a shell by a bank.
倒影[倒影]	dao4ying3	noun inverted image; inverted reflection in water
诏书[詔書]	zhao4shu1	noun imperial edict
礼乐[禮樂]	li3yue4	noun archaic protocol and music
砂纸[砂紙]	sha1zhi3	noun abrasive paper; sand paper 玻璃砂纸 bōli shāzhǐ glass paper 金刚砂纸 jīngāng shāzhǐ emery paper
繭[繭]	jian3	noun callus; callosity 老趼 lǎojiǎn thick callus
衡量[衡量]	heng2liang5	verb weigh; measure; judge 衡量得失 héngliang déshī weigh up the gains and losses 请你衡量一下这件事该怎么办。 Qǐng nǐ héngliang yīxià zhè jiàn shì gāi zěnme bàn. Will you please consider what to do about it?
序论[序論]	xu4lun4	noun introduction
绪论[緒論]	xu4lun4	noun introduction; exordium 绪论作者 xùlùn zuòzhě prefacer
抛锚[拋錨]	pao1//mao2	verb 1 drop anchor; cast anchor 2 (of vehicles) break down 汽车中途抛锚了。 Qìchē zhōngtú pāomáo le. The car broke down on the way. 3 dialect stop midway; suspend
洞察力[洞察力]	dong4cha2li4	insight; insightful; discernment; acumen
残骸[殘骸]	can2hai2	noun remains (of a person or animal); wreckage (of a building, machine, vehicle, etc.) 飞机残骸 fēijī cánhái the wreckage of a plane
后备箱[後備箱]	hou4bei4xiang1	1 trunk 2 boot (of a car)
阮[阮]	Ruan3	1 surname Ruan 2 small state during the Shang Dynasty (1600-1046 BC) located in the southeast of modern-day Gansu Province
诸侯[諸侯]	zhu1hou2	noun dukes or princes owing loyalty to an emperor; nobles
串流[串流]	chuan4liu2	to stream (online)
角膜[角膜]	jiao3mo2	noun anatomy cornea
半导体[半導體]	ban4dao3ti3	noun semiconductor
形同陌路[形同陌路]	xing2tong2mo4lu4	to be estranged
箴言[箴言]	zhen1yan2	noun literary admonition; exhortation; maxim
维系[維係]	wei2xi4	verb hold together; maintain 维系人心 wéixì rénxīn maintain popular morale
显赫[顯赫]	xian3he4	adjective illustrious; celebrated 显赫的名声 xiǎnhè de míngshēng great renown; well-known 显赫的战功 Xiǎnhè de zhàngōng illustrious war exploits; distinguished war record 显赫一时的殖民帝国 xiǎnhè yīshí de zhímín dìguó the once mighty colonial empire 声势显赫 shēngshì xiǎnhè have a powerful influence
家世[家世]	jia1shi4	noun literary family's social standing; family background
驼鹿[駝鹿]	tuo2lu4	noun zoology elk; moose
麋鹿[麋鹿]	mi2lu4	noun zoology milu; David's deer
成见[成見]	cheng2jian4	noun preconceived idea; prejudice 消除成见 xiāochú chéngjiàn dispel prejudices 对某人成见很深 Duì mǒurén chéngjiàn hěn shēn be deeply prejudiced against sb. 我对他毫无成见。 Wǒ duì tā háowú chéngjiàn. I have no prejudice against him at all.
捐弃[捐棄]	juan1qi4	verb literary relinquish; abandon 捐弃前嫌 juānqìqiánxián bury old grudges
新仇旧恨[新仇舊恨]	xin1chou2-jiu4hen4	idiom new hatred piled on old; old scores and new grievances
尾骨[尾骨]	wei3gu3	noun anatomy coccyx; tailbone
有其父，必有其子[有其父，必有其子]	you3 qi2 fu4, bi4 you3 qi2 zi3	idiom Like father, like son.
昕[昕]	xin1	noun archaic time just before the sun rises; dawn
炖肉[燉肉]	dun4rou4	1 stewed meat 2 beef stew
薏仁[薏仁]	yi4ren2	grains of Job's tears plant 薏苡yìyǐ [薏苡]
省亲[省親]	xing3qin1	verb literary pay a visit to one's parents or elders
迁葬[遷葬]	qian1zang4	verb move a grave to another place
成瘾[成癮]	cheng2//yin3	verb become addicted to 吸毒成瘾 xīdúchéngyǐn become addicted to drugs
美中不足[美中不足]	mei3zhong1-bu4zu2	idiom a blemish in an otherwise perfect thing; a fly in the ointment; blemish that mars beauty; a flaw in an apparently perfect thing 这本小说很好, 美中不足的是结尾太冗长了。 Zhè běn xiǎoshuō hěn hǎo, měizhōngbùzú de shì jiéwěi tài rǒngcháng le. This is a good novel, except for the long and tedious ending.
礼让[禮讓]	li3rang4	verb give precedence to sb. out of courtesy or thoughtfulness 礼让老人 lǐràng lǎo·rén show priority to senior citizens 国际礼让 Guójì lǐràng the comity of nations 中速行驶, 安全礼让。 Zhōng sù xíngshǐ, ānquán lǐràng. Drive at moderate speed; yield right of way for safety’s sake.
以身作则[以身作則]	yi3shen1-zuo4ze2	idiom set a good example with one's own conduct; set an example
别具[別具]	bie2ju4	to have unique (talent, insight etc)
天马行空[天馬行空]	tian1ma3-xing2kong1	idiom a heavenly steed soaring across the skies—a powerful and unconstrained style (of writing, calligraphy, etc.)
归还[歸還]	gui1huan2	verb return; revert (opp. 借用) 向图书馆借书要按时归还。 Xiàng túshūguǎn jiè shū yào ànshí guīhuán. Books borrowed from the library should be returned on time.
型录[型錄]	xing2lu4	product catalog
物流[物流]	wu4liu2	noun logistics
演算[演算]	yan3suan4	verb perform mathematical calculations; calculate; operate
量子[量子]	liang4zi3	noun physics quantum 光量子 guāng liàngzǐ light quantum
达摩[達摩]	Da2mo2	1 Dharma, the teaching of Buddha 2 Bodhidharma
挹[挹]	yi4	verb literary 1 ladle out; scoop up 挹酒浆 yì jiǔjiāng ladle out wine 2 pull
订单[訂單]	ding4dan1	noun order for goods; order form
奈米[奈米]	nai4mi3	1 (Taiwan) nanometer 2 nano- (prefix meaning "nanoscale")
计程车[計程車]	ji4cheng2che1	dialect taxi
陈水扁[陳水扁]	Chen2 Shui3bian3	Chen Shui-Bian (1950-), Taiwanese DPP 民进党 politician, president of the Republic of China 2000-2008
特赦[特赦]	te4she4	verb 1 grant a special pardon 2 grant a special amnesty 特赦战犯 tèshè zhànfàn grant a special amnesty to war criminals
涂鸦[塗鴉]	tu2ya1	verb usually self-deprecating poor handwriting; scrawl
沆瀣一气[沆瀣一氣]	hang4xie4-yi1qi4	idiom act in collusion with; wallow in the mire with
吃到饱[吃到飽]	chi1dao4bao3	all-you-can-eat (buffet) (Tw)
封斋[封齋]	feng1//zhai1	verb 1 Islam sawm 2 Catholicism Lent
扎根[扎根]	zha1//gen1	verb take root 水和阳光充足, 树苗很快就会扎根。 Shuǐ hé yángguāng chōngzú, shùmiáo hěn kuài jiù huì zhāgēn. Saplings take root quickly with plenty of water and sunlight. 扎根于群众之中 Zhāgēn yú qúnzhòng zhīzhōng take root among the masses; rooted in the people
皮匠[皮匠]	pi2jiang5	noun 1 cobbler See 29298432三个臭皮匠赛过诸葛亮san1ge5chou4pi2jiang4sai4guo4zhu1ge3liang4三个臭皮匠, 赛过诸葛亮 2 tanner
高祖[高祖]	gao1zu3	noun 1 (paternal) great-great-grandfather 2 literary remote (or earliest) ancestor
洪武[洪武]	Hong2wu3	noun Hongwu (title of the reign (1368-1398) of Zhu Yuanzhang (朱元璋), founder and 1st emperor of the Ming Dynasty, called posthumously Ming Taizu (明太祖))
托拉斯[託拉斯]	tuo1la1si1	noun economics trust
皮包公司[皮包公司]	pi2bao1 gong1si1	“briefcase company”—inadequately financed company, not credit-worthy; fly-by-night company; bubble company
拨冗[撥冗]	bo1rong3	verb literary polite expression find time in the midst of pressing affairs 务希拨冗出席。 Wù xī bōrǒng chūxí. Your presence is cordially requested.
阴囊[陰囊]	yin1nang2	noun anatomy scrotum; oscheo
交媾[交媾]	jiao1gou4	verb literary have sex; (engage in) sexual intercourse; copulation
手提[手提]	shou3ti2	adjective portable  noun 1 abbreviation = 30328576手提电话shou3ti2dian4hua4手提电话 handset; mobile phone 2 abbreviation laptop computer; portable computer
嘬[嘬]	chuai4	1 (literary) to gnaw 2 to eat ravenously
安全期[安全期]	an1quan2qi1	noun safe period
褒奖[褒獎]	bao1jiang3	verb praise and honour; commend and recognition 他的行为应该受到褒奖。 Tā de xíngwéi yīnggāi shòudào bāojiǎng. His deeds deserve praise and recognition.
旧金山[舊金山]	Jiu4jin1shan1	noun San Francisco
倾销[傾銷]	qing1xiao1	verb sell goods at a very low price; dump 倾销货物 qīngxiāo huòwù dump goods
蓄谋已久[蓄謀已久]	xu4mou2yi3jiu3	long premeditated
鸦片战争[鴉片戰爭]	Ya1pian4 Zhan4zheng1	noun history Opium Wars (1840-1842, 1856-1860)
耻毛[恥毛]	chi3mao2	pubic hair
卿[卿]	qing1	noun 1 archaic minister or high official 2 an emperor's form of address for a minister 3 dated a term of endearment used between husband and wife or among close friends 4 (Qīng) a surname
娘娘[娘娘]	niang2niang5	noun 1 [addressing or referring to an empress or an imperial concubine] 正宫娘娘 zhènggōng niángniang emperor’s consort; empress (太监) 万岁爷有旨, 宣贵妃杨娘娘上殿。(洪昇《长生殿》) Wànsuì yé yǒu zhǐ, xuān guìfēi yáng niángniang shàng diàn. (Eunuch speaking) His Majesty orders Lady Yang to approach. 2 name for certain guardian goddesses 娘娘庙 niángniang miào Temple of the Goddess of Fertility 子孙娘娘 zǐsūn niángniang Our Lady of Many Children; Goddess of Fertility (patroness of marriage and giver of sons)
烧卖[燒賣]	shao1mai5	noun steamed dumpling with the dough gathered at the top
嬲[嬲]	niao3	verb literary 1 tease 2 pester
镣铐[鐐銬]	liao4kao4	noun fetters and handcuffs; shackles; irons; chains 戴上镣铐 dài shàng liàokào be shackled; be in chains
降解[降解]	jiang4jie3	verb degradate 生物降解 shēngwùjiàngjiě biological degradation 可降解塑料 kě jiàngjiě sùliào degradable plastics
恒星[恆星]	heng2xing1	noun astronomy (fixed) star
星系[星系]	xing1xi4	noun astronomy galaxy 总星系 Zǒng xīngxì metagalaxy
考拉[考拉]	kao3la1	noun zoology koala
雅俗共赏[雅俗共賞]	ya3su2-gong4shang3	idiom (of a work of art or literature) appeal to all; suit both refined and popular tastes
婧[婧]	jing4	1 (of woman) slender 2 delicate 3 virtuous
钗[釵]	chai1	noun dated hairpin 金钗 jīnchāi a gold hairpin
初来乍到[初來乍到]	chu1lai2-zha4dao4	idiom have just come; new (to a job or place)
厨子[廚子]	chu2zi5	noun colloquial cook
佼佼者[佼佼者]	jiao3jiao3zhe3	outstanding figure; giant among dwarfs
克罗地亚[克羅地亞]	Ke4luo2di4ya4	Croatia
宫崎骏[宮崎駿]	Gong1qi2 Jun4	Miyazaki Hayao (1941-), Japanese director
粥样硬化[粥樣硬化]	zhou1yang4ying4hua4	1 atherosclerosis 2 hardening of the arteries
劳模[勞模]	lao2mo2	noun abbreviation = 25400576劳动模范lao2dong4mo2fan4劳动模范 model worker 劳模大会 láomó dàhuì model worker conference
痼疾[痼疾]	gu4ji2	noun chronic (or incurable) illness 医学的发达, 使很多所谓痼疾都能治愈。 yīxué de fādá, shǐ hěn duō suǒwèi gùjí dōu néng zhìyù. Advances in medical science have made it possible to cure many so-called incurable diseases.
瘴[瘴]	zhang4	noun miasma
彼岸[彼岸]	bi3an4	noun 1 the other side or bank of a river; the opposite shore 大洋彼岸 dàyáng bǐ'àn the opposite shore of the ocean; the other side of the ocean 2 Buddhism Paramita; the realm above life and death 3 figurative ideal realm that one longs for
肩负[肩負]	jian1fu4	verb take on; undertake; shoulder; bear; be entrusted with 肩负重荷 jiānfù zhòng hè bear a heavy burden; shoulder heavy loads 肩负光荣的任务 jiānfù guāngróng de rènwu undertake a glorious task 肩负着全体职工的委托 jiānfù zhe quántǐ zhígōng de wěituō be entrusted with a mission by the whole staff 我们肩负人民的希望。 Wǒmen jiānfù rénmín de xīwàng. The people place their hopes on us.
赓续[賡續]	geng1xu4	formal continue
一筹莫展[一籌莫展]	yi1chou2-mo4zhan3	idiom can find no way out; be at one's wits' end; be at the end of one's tether
发芽[發芽]	fa1//ya2	verb germinate; sprout 种子还没有发芽。 Zhǒngzi hái méiyǒu fāyá. The seeds haven’t sprouted yet.
忘情[忘情]	wang4qing2	verb 1 [usu. in the negative] unruffled by emotion; be unmoved; indifferent 不能忘情 bùnéngwàngqíng still emotionally attached 2 let oneself go; unrestrained; uninhibited 忘情地歌唱 wàngqíng de gēchàng sing lustily without restraint
清高[清高]	qing1gao1	adjective aloof from politics and material pursuits
试管婴儿[試管嬰兒]	shi4guan3ying1er2	test-tube baby
篪[篪]	chi2	noun archaic music bamboo flute
忘年交[忘年交]	wang4nian2jiao1	noun 1 friendship between the generations 2 good friends despite a great age difference
宝可梦[寶可夢]	Bao3ke3meng4	Pokémon
匹敌[匹敵]	pi3di2	verb equal to; well matched 双方实力正相匹敌。 shuāngfāng shílì zhèng xiāng pǐdí. The two sides are well matched.
嵩[嵩]	song1	adjective archaic (esp. of a mountain) high; lofty
黔[黔]	Qian2	abbr. for Guizhou province 贵州Guìzhōu [贵州]
渝[渝]	Yu2	1 short name for Chongqing 重庆Chóngqìng [重庆] 2 old name of Jialing river 嘉陵江Jiālíngjiāng [嘉陵江] in Sichuan
鄂[鄂]	E4	noun 1 another name for Hubei Province 2 (Ào) a surname
湘[湘]	Xiang1	noun 1 abbreviation VARIANT OF 73810147湘江xiang1jiang1湘江 Xiang Jiang River (originating in Guangxi and flowing into Dongting Lake (洞庭湖)) 2 another name for Hunan Province
阿胶[阿膠]	e1jiao1	noun Chinese pharmacology E-gelatin (a tonic for nourishing the blood, named after its place of origin, Dong'e County (东阿县) in Shandong Province)
佚名[佚名]	yi4ming2	adjective nameless; anonymous
公海[公海]	gong1hai3	noun international waters; high (or open) seas; mare liberum (opp. 领海)
鹌鹑[鵪鶉]	an1chun5	noun ornithology quail
丰腴[豐腴]	feng1yu2	adjective literary 1 VARIANT OF 21029376丰盈feng1ying2丰盈1 literary full and round; well-developed; plump 2 rich and fertile 丰腴的草场 fēngyú de cǎochǎng rich pasture 3 sumptuous 丰腴的酒席 fēngyú de jiǔxí sumptuous feast
舐[舐]	shi4	verb literary lick
英烈[英烈]	ying1lie4	literary noun 1 heroic martyr 2 brilliant achievement  adjective heroic; valiant 英烈女子 yīngliè nǚzǐ heroic woman
壁垒[壁壘]	bi4lei3	noun 1 rampart; barrier 排除贸易壁垒 páichú màoyì bìlěi remove (or break down) trade barriers 设置关税壁垒 shèzhì guānshuì bìlěi erect a tariff wall 2 line of division; sharply contrasted objects 壁垒分明 bìlěifēnmíng diametrically opposed; sharply divided 哲学中的两大壁垒 zhéxué zhòngdì liǎng dà bìlěi two rival camps in philosophy; two diametrically opposed philosophical theories
玮[瑋]	wei3	noun 1 archaic a kind of jade 2 literary valuable; precious 玮宝 wěibǎo rare treasure
埤[埤]	pi4	noun literary low wall (on a city wall, sometimes with battlements); parapet (堄堄 nì)
汤匙[湯匙]	tang1chi2	noun tablespoon; soup spoon
钹[鈸]	bo2	noun music cymbals
咄咄逼人[咄咄逼人]	duo1duo1-bi1ren2	idiom overbearing; aggressive; pushy 他说话时的神气咄咄逼人。 Tā shuō huà shí de shénqi duōduōbīrén. He spoke in an overbearing manner.
土坯[土坯]	tu3pi1	noun sun-dried mud brick; adobe
剽窃[剽竊]	piao1qie4	verb plagiarize; lift 成段地剽窃别人的著作 chéngduàn de piāoqiè biéren de zhùzuò lift whole passages from another person’s work
蒸馏[蒸餾]	zheng1liu2	verb distil 拔顶蒸馏 Bá dǐng zhēngliú topping distillation 常压蒸馏 cháng yā zhēngliú atmospheric distillation 真空蒸馏 zhēnkōng zhēngliú vacuum distillation
馄饨[餛飩]	hun2tun5	noun wonton; dumpling soup (饨饨 tún)
重审[重審]	chong2shen3	verb law (conduct) a retrial
重申[重申]	chong2shen1	verb reaffirm; reiterate; restate 重申前令 chóngshēnqiánlìng reaffirm an existing decree 重申党的纪律 chóngshēn dǎng de jìlǜ affirm anew the discipline of the Party 重申我国政府的一贯立场 chóngshēn wǒguó zhèngfǔ de yīguàn lìchǎng reiterate the consistent stand of our government
离奇[離奇]	li2qi2	adjective strange; odd; fantastic; bizarre 离奇的故事 Líqí de gùshi strange story 离奇的谎言 líqí de huǎngyán fantastic lie 这事儿很离奇。 Zhè shìr hěn líqí. This is a very odd business.
荒诞[荒誕]	huang1dan4	adjective fantastical; absurd; incredible 荒诞的情节 huāngdàn de qíngjié incredible plot 荒诞的想法 Huāngdàn de xiǎngfa fanciful idea
数不胜数[數不勝數]	shu3bu4sheng4shu3	idiom innumerable; incalculable; countless
猥琐[猥瑣]	wei3suo3	adjective boorish; uncouth; rude 言语猥琐 yányu wěisuǒ speak rudely 长得很猥琐 Zhǎng de hěn wěisuǒ of wretched appearance
缥缈[縹緲]	piao1miao3	adjective dimly discernible; misty 缥缈无定 piāomiǎo wúdìng visionary; intangible See 33654784虚无缥缈xu1wu2piao1miao3虚无缥缈 (缈缈 miǎo)
伏案[伏案]	fu2an4	verb bend over or lean over a table 伏案读书 fú'àndúshū bend over one’s desk reading 伏案作画 fú'àn zuòhuà bend over one’s desk painting
虚无[虛無]	xu1wu2	noun philosophy nihility; nothingness  adjective (of mind, feeling, etc.) empty; void
灰烬[灰燼]	hui1jin4	noun ashes 化为灰烬 huàwéi huījìn be reduced to ashes
包皮[包皮]	bao1pi2	noun 1 wrapping; wrapper 2 anatomy prepuce; foreskin
跳闸[跳閘]	tiao4//zha2	verb electricity trip
霍金[霍金]	Huo4jin1	1 Hawkins or Hawking 2 Stephen Hawking (1942-), British physicist and author of A Brief History of Time 时间简史
斯蒂芬[斯蒂芬]	Si1di4fen1	Stephen or Steven (name)
贸易逆差[貿易逆差]	mao4yi4ni4cha1	unfavourable balance of trade
就绪[就緒]	jiu4xu4	verb in order; ready 一切都已就绪。 Yīqiè dōu yǐ jiùxù. Everything is ready (or in order). 准备工作已经大致就绪。 Zhǔnbèi gōngzuò yǐjing dàzhì jiùxù. The preparations are more or less completed.
幌子[幌子]	huang3zi5	noun 1 shop sign; signboard 2 pretence; cover; front 打着“援助”的幌子 Dǎ zhe “yuánzhù” de huǎngzi under the pretence of aid; in the guise of aid 骗人的幌子 piànrén de huǎngzi facade; front
罹[罹]	li2	literary verb suffer from; meet with 罹病 líbìng suffer from a disease; fall ill 罹祸 líhuò suffer misfortune 罹殃 líyāng suffer disaster  noun misery; suffering; distress
赘述[贅述]	zhui4shu4	verb give unnecessary details; say more than is needed 不必一一赘述。 Bùbì yīyī zhuìshù. It is unnecessary to go into details.
润滑剂[潤滑劑]	run4hua2ji4	noun 1 lubricant 2 figurative person or thing that helps reduce difficulty or conflict; lubricant
归隐[歸隱]	gui1yin3	verb literary return to one's hometown and seclude; live in seclusion in the countryside 辞官归隐 Cíguān guīyǐn resign and live in seclusion
刽子手[劊子手]	gui4zi5shou3	noun 1 archaic executioner; headsman 2 figurative slaughterer; butcher
绥靖[綏靖]	sui2jing4	verb pacify; appease
缉拿[緝拿]	ji1na2	verb seize; arrest; apprehend 缉拿凶手 Jīná xiōngshǒu apprehend the murderer 已将叛乱分子一一缉拿归案。 Yǐ jiāng pànluàn fènzǐ yīyī jīná guī'àn. All the rebels have been brought to justice.
莘莘学子[莘莘學子]	shen1shen1xue2zi3	a great number of disciples; large numbers of students
麻疹[麻疹]	ma2zhen3	noun measles 出麻疹 chū mázhěn have measles
浣熊[浣熊]	huan4xiong2	noun zoology racoon
席位[席位]	xi2wei4	noun seat (at a conference, in a legislative assembly, etc.)
抗过敏[抗過敏]	kang4//guo4min3	verb be antiallergic
泥石流[泥石流]	ni2shi2liu2	noun geology mud-rock flow; rockslide; mudslide
耗油量[耗油量]	hao4you2liang4	oil consumption
码农[碼農]	ma3nong2	menial programmer (computing)
二维码[二維碼]	er4wei2ma3	1 two-dimensional barcode 2 QR code
陶醉[陶醉]	tao2zui4	verb be drunk (with happiness, etc.); revel in 她的歌声使我陶醉。 Tā de gēshēng shǐ wǒ táozuì. Her singing charmed me completely. 我们不能陶醉于已有的成绩。 Wǒmen bùnéng táozuì yú yǐ yǒude chéngjì. We mustn’t let success go to our heads.
忌讳[忌諱]	ji4hui5	noun 1 taboo 犯忌讳 fàn jìhui violate (or break) a taboo; offend a person’s sensitivity; touch a person’s sore spot 2 dialect vinegar  verb 1 avoid as taboo 忌讳不言 jìhui bù yán be silent avoiding superstitious fear 张先生忌讳人家叫他的外号。 zhāng xiānshengjìhui rénjia jiào tā de wàihào. Mr. Zhang resents being called by his nickname. 2 avoid as harmful; abstain from 得了痢疾忌讳吃生冷油腻。 Déle lìji jìhui chī shēnglěng yóunì. People suffering from dysentery must avoid raw, cold or greasy food.
湖泊[湖泊]	hu2po1	noun lakes
妈宝[媽寶]	ma1bao3	mama's boy
个人所得税[個人所得稅]	ge4ren2 suo3de2shui4	personal income tax
栎树[櫟樹]	li4shu4	oak tree
驿传[驛傳]	yi4chuan2	relay post-horse mail service (in former times)
箱根[箱根]	Xiang1gen1	Hakone, city on the east coast of Japan southwest of Tokyo
前列腺[前列腺]	qian2lie4xian4	noun anatomy prostate (gland)
转椅[轉椅]	zhuan4yi3	noun swivel (or revolving) chair
诉诸[訴諸]	su4zhu1	verb literary resort to; appeal to 诉诸武力 sùzhū-wǔlì resort to force; appeal to arms
大阪[大阪]	Da4ban3	Osaka (Japan)
榻榻米[榻榻米]	ta4ta4mi3	noun transliteration tatami
壁纸[壁紙]	bi4zhi3	noun wallpaper
橐橐[橐橐]	tuo2tuo2	(onom.) footsteps
杜鹃[杜鵑]	du4juan1	noun ornithology cuckoo  noun botany azalea (鹃鹃 juān)
海棠[海棠]	hai3tang2	noun botany Chinese flowering crabapple (Malus spectabilis)
栉比鳞次[櫛比鱗次]	zhi4bi3lin2ci4	idiom (of buildings) like fish scales and comb teeth; in tight rows 江岸新建的住宅鳞次栉比。 Jiāng'àn xīnjiàn de zhùzhái líncìzhìbǐ. Row upon row of newly built dwelling houses line the waterfront.
照镜子[照鏡子]	zhao4//jing4zi5	verb 1 look at oneself in the mirror 2 assess oneself
里外里[裡外裡]	li3wai4li3	adverb dialect 1 adding the two sums; taken all together 我省了五十块, 家里又寄来五百块, 里外里有五百五十块。 wǒ shěng le wǔshí kuài, jiālǐ yòu jìlái wǔbǎi kuài, lǐwàilǐ yǒu wǔbǎi wǔshí kuài. I’ve saved up 50 yuan, and my family has sent me 500 yuan, so all together I have 550 yuan. 2 no matter how you figure it out; either way 三个人干五天跟五个人干三天, 里外里是一样的。 Sān gèrén gàn wǔ tiān gēn wǔ gèrén gàn sān tiān, lǐwàilǐ shì yīyàng de. Three people working five days or five people working three days—either way it’s all the same.
块茎[塊莖]	kuai4jing1	noun botany (stem) tuber
国际歌[國際歌]	guo2ji4ge1	noun the Internationale
财源滚滚[財源滾滾]	cai2yuan2gun3gun3	profits pour in from all sides
耶和华见证人[耶和華見證人]	Ye1he2hua2 Jian4zheng4ren2	Jehovah's Witnesses
猛士[猛士]	meng3shi4	noun literary brave warrior; valiant fighter
蛟龙[蛟龍]	jiao1long2	noun flood dragon (a mythical creature capable of invoking storms and floods)
同济大学[同濟大學]	Tong2ji4 Da4xue2	Tongji University
跳梁[跳梁]	tiao4liang2	verb jump up and down; excessive
空袭[空襲]	kong1xi2	verb make an air attack (or raid) 该城遭到空袭。 gāi chéng zāodào kōngxí. The city was attacked from the air.
玉碎[玉碎]	yu4sui4	verb be like a broken piece of jade—die in glory
流言蜚语[流言蜚語]	liu2yan2-fei1yu3	idiom rumours and slanders
听诊器[聽診器]	ting1zhen3qi4	stethoscope
眸子[眸子]	mou2zi3	noun pupil (of the eye); eye
瓦斯[瓦斯]	wa3si1	noun gas 毒瓦斯 dúwǎsī poisonous gas
面庞[面龐]	mian4pang2	noun contours of the face; face 圆圆的面庞 yuányuán de miànpáng round face
涅[涅]	nie4	noun archaic mining alunite  verb literary dye sth. black
旅伴[旅伴]	lü3ban4	noun travelling companion; fellow traveller
够朋友[夠朋友]	gou4//peng2you5	adjective colloquial deserve to be called a true friend; be a friend indeed 不够朋友 bù gòupéngyou behave not as a friend ought to
土木[土木]	tu3mu4	noun building; construction See 19489024大兴土木da4xing1tu3mu4大兴土木
扁桃[扁桃]	bian3tao2	noun 1 common name for almond (tree) 2 dialect VARIANT OF 27603456蟠桃pan2tao2蟠桃1 flat peach
矜持[矜持]	jin1chi2	adjective 1 solemn 2 restrained; reserved 举止矜持 jǔzhǐ jīnchí have a reserved manner
迂回[迂迴]	yu1hui2	verb outflank 迂回包抄 yūhuí bāochāo outflank and envelop 向敌人左侧迂回 xiàng dírén zuǒcè yūhuí outflank the enemy on the left  adjective circuitous; tortuous; roundabout 迂回其词 yūhuíqící beat around the bush; be circumlocutory (or periphrastic, discursive, meandering) 迂回前进 yūhuí qiánjìn advance by a roundabout route 小溪迂回于田野之中。 xiǎoxī yūhuí yú tiányě zhīzhōng. A stream winds (or twists and turns) across the fields.
沉默是金[沉默是金]	chen2mo4shi4jin1	Silence is golden. (idiom)
五行[五行]	wu3xing2	noun philosophy five elements (metal, wood, water, fire, and earth; believed by the ancients to make up the physical universe, later used in traditional Chinese medicine to explain various physiological and pathological phenomena) 五行相生。 wǔxíng xiāngshēng. The five elements originate from each other.
幕后[幕後]	mu4hou4	noun often pejorative behind the scenes; backstage 幕后操纵 Mùhòucāozòng pull strings behind the scenes
